state,target,model,train_r2,cv_r2,mae,rmse
Sabah,population,Random Forest,0.9273,-6304.3675,40095.04,54232.16
Sabah,population,Extra Trees,1.0,-10.8339,0.0,0.0
Sabah,population,Poly Ridge (deg 3),0.4279,-135566.0665,134446.47,152170.68
Sabah,population,ElasticNet Poly,0.2811,-3420.7444,151021.8,170576.87
Sarawak,gdp_rm_million,Gradient Boosting,1.0,-2.0418,0.01,0.01
Sarawak,gdp_rm_million,Random Forest,0.9402,-3.097,1507.26,1760.75
Sarawak,gdp_rm_million,Extra Trees,1.0,-2.0418,0.0,0.0
Sarawak,gdp_rm_million,Poly Ridge (deg 3),0.7583,-10.833,3031.6,3541.68
Sarawak,gdp_rm_million,ElasticNet Poly,0.7161,-2.3412,3134.87,3838.17
Sarawak,population,Gradient Boosting,1.0,-13.2949,0.03,0.03
Sarawak,population,Random Forest,0.9465,-199.1787,19373.7,34162.06
Sarawak,population,Extra Trees,1.0,-13.2949,0.0,0.0
Sarawak,population,Poly Ridge (deg 3),0.6169,-6595.0126,76459.16,91442.87
Sarawak,population,ElasticNet Poly,0.5974,-219.5457,80895.07,93740.47
Selangor,gdp_rm_million,Gradient Boosting,1.0,-3.8606,0.02,0.02
Selangor,gdp_rm_million,Random Forest,0.9759,-7.0491,6076.25,6881.68
Selangor,gdp_rm_million,Extra Trees,1.0,-3.8606,0.0,0.0
Selangor,gdp_rm_million,Poly Ridge (deg 3),0.9432,-7.283,8600.73,10575.92
Selangor,gdp_rm_million,ElasticNet Poly,0.9295,-3.3698,9191.42,11781.11
Selangor,population,Gradient Boosting,1.0,-5.1205,0.07,0.08
Selangor,population,Random Forest,0.979,-44.4432,40305.37,54155.71
Selangor,population,Extra Trees,1.0,-5.1205,0.0,0.0
Selangor,population,Poly Ridge (deg 3),0.9428,-371.9163,64926.75,89330.85
Selangor,population,ElasticNet Poly,0.9428,-4.2476,65307.87,89393.63
Terengganu,gdp_rm_million,Gradient Boosting,1.0,-2.9213,0.0,0.0
Terengganu,gdp_rm_million,Random Forest,0.955,-3.9261,431.79,484.82
Terengganu,gdp_rm_million,Extra Trees,1.0,-2.9213,0.0,0.0
Terengganu,gdp_rm_million,Poly Ridge (deg 3),0.8563,-11.7543,736.72,866.28
Terengganu,gdp_rm_million,ElasticNet Poly,0.835,-2.4634,758.19,928.34
Terengganu,population,Gradient Boosting,1.0,-8.0211,0.06,0.07
Terengganu,population,Random Forest,0.8446,-4.8141,8947.81,11601.75
Terengganu,population,Extra Trees,1.0,-8.0211,0.0,0.0
Terengganu,population,Poly Ridge (deg 3),0.0681,-184.5745,23887.6,28409.38
Terengganu,population,ElasticNet Poly,0.0037,-8.6961,25493.68,29374.61
W.P. Kuala Lumpur,gdp_rm_million,Gradient Boosting,1.0,-2.2103,0.01,0.02
W.P. Kuala Lumpur,gdp_rm_million,Random Forest,0.9592,-4.0367,3983.17,4437.0
W.P. Kuala Lumpur,gdp_rm_million,Extra Trees,1.0,-2.2103,0.0,0.0
W.P. Kuala Lumpur,gdp_rm_million,Poly Ridge (deg 3),0.8442,-10.0,6848.65,8675.24
W.P. Kuala Lumpur,gdp_rm_million,ElasticNet Poly,0.8337,-2.816,7219.22,8962.78
W.P. Kuala Lumpur,population,Gradient Boosting,1.0,-66.938,0.11,0.12
W.P. Kuala Lumpur,population,Random Forest,0.9596,-318.6598,13326.44,21515.23
W.P. Kuala Lumpur,population,Extra Trees,1.0,-66.9382,0.0,0.0
W.P. Kuala Lumpur,population,Poly Ridge (deg 3),0.84,-14278.3396,31449.17,42822.26
W.P. Kuala Lumpur,population,ElasticNet Poly,0.8346,-71.4292,33829.01,43537.48
W.P. Labuan,gdp_rm_million,Gradient Boosting,1.0,-204.603,0.0,0.0
W.P. Labuan,gdp_rm_million,Random Forest,0.9761,-380.8946,76.23,100.01
W.P. Labuan,gdp_rm_million,Extra Trees,1.0,-204.6029,0.0,0.0
W.P. Labuan,gdp_rm_million,Poly Ridge (deg 3),0.9533,-204.2095,118.16,139.79
W.P. Labuan,gdp_rm_million,ElasticNet Poly,0.9402,-63.9955,131.09,158.12
W.P. Labuan,population,Gradient Boosting,1.0,-6.9486,0.01,0.01
W.P. Labuan,population,Random Forest,0.885,-4.743,448.44,581.92
W.P. Labuan,population,Extra Trees,1.0,-6.9486,0.0,0.0
W.P. Labuan,population,Poly Ridge (deg 3),0.2969,-119.2147,1241.63,1438.84
W.P. Labuan,population,ElasticNet Poly,0.1016,-7.5072,1404.71,1626.42
W.P. Putrajaya,gdp_rm_million,Gradient Boosting,1.0,-2544.4109,0.0,0.0
W.P. Putrajaya,gdp_rm_million,Random Forest,0.92,-3858.0004,587.25,775.62
W.P. Putrajaya,gdp_rm_million,Extra Trees,1.0,-2544.411,0.0,0.0
W.P. Putrajaya,gdp_rm_million,Poly Ridge (deg 3),0.8325,-1297.7471,906.96,1122.54
W.P. Putrajaya,gdp_rm_million,ElasticNet Poly,0.3994,-30527.3307,1647.84,2125.53
W.P. Putrajaya,population,Gradient Boosting,1.0,-27.2173,0.0,0.0
W.P. Putrajaya,population,Random Forest,0.989,-49.2417,1169.37,1343.24
W.P. Putrajaya,population,Extra Trees,1.0,-27.2173,0.0,0.0
W.P. Putrajaya,population,Poly Ridge (deg 3),0.9887,-21.8707,934.34,1359.74
W.P. Putrajaya,population,ElasticNet Poly,0.9405,-57.442,2825.82,3124.74
