Year,Quarter,Skills,Economic Activity,Sub-economic Activity,Jobs ('000),Filled Jobs ('000),Vacancies ('000),Jobs Created ('000)
2024,2,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",24.9,23.1,1.8,0.2
2024,2,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",29.6,26.4,3.2,0.2
2024,2,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.1,19.9,3.2,0.2
2024,2,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.6,11.6,1.1,0.1
2024,2,Low-skilled,Construction,Construction,48.8,42.6,6.2,0.4
2024,2,Low-skilled,Services,Wholesale & retail trade,229.6,226.9,2.7,0.8
2024,2,Low-skilled,Services,Food & beverages and accommodation,338.4,338.0,0.4,0.1
2024,2,Low-skilled,Services,Transportation & storage,91.4,91.1,0.3,0.2
2024,2,Low-skilled,Services,Information & communication,17.9,17.4,0.5,0.1
2024,2,Low-skilled,Services,"Finance, insurance, real estate & business services",104.0,103.2,0.8,0.4
2024,2,Low-skilled,Services,Other services,71.3,71.0,0.4,0.3
2024,1,Skilled,Agriculture,Agriculture,28.3,24.0,4.3,0.2
2024,1,Skilled,Mining & Quarrying,Mining & Quarrying,23.5,23.4,0.1,0.0
2024,1,Skilled,Manufacturing,"Food processing, beverages & tobacco products",44.5,42.2,2.3,0.3
2024,1,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",10.3,9.7,0.6,0.0
2024,1,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.5,34.6,2.0,0.2
2024,1,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",83.8,79.4,4.4,0.6
2024,1,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",60.1,56.5,3.6,0.3
2024,1,Skilled,Manufacturing,"Electrical, electronic & optical products",147.6,138.5,9.1,0.7
2024,1,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",52.1,49.3,2.8,0.2
2024,1,Skilled,Construction,Construction,144.8,139.7,5.0,0.5
2024,1,Skilled,Services,Wholesale & retail trade,606.9,601.8,5.0,1.9
2024,1,Skilled,Services,Food & beverages and accommodation,118.1,117.9,0.2,0.5
2024,1,Skilled,Services,Transportation & storage,97.4,97.1,0.3,0.9
2024,1,Skilled,Services,Information & communication,137.8,137.5,0.3,0.2
2024,1,Skilled,Services,"Finance, insurance, real estate & business services",431.6,424.3,7.3,1.9
2024,1,Skilled,Services,Other services,216.9,216.3,0.5,0.5
2024,1,Semi-skilled,Agriculture,Agriculture,442.9,421.2,21.6,1.2
2024,1,Semi-skilled,Mining & Quarrying,Mining & Quarrying,47.3,46.9,0.3,0.2
2024,1,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",259.5,252.1,7.4,0.2
2024,1,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",73.7,71.9,1.8,0.4
2024,1,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",234.0,227.4,6.7,0.5
2024,1,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",347.7,333.7,13.9,1.9
2024,1,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",288.2,280.1,8.1,0.9
2024,1,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",471.5,450.4,21.1,2.9
2024,1,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",172.5,166.4,6.0,0.6
2024,1,Semi-skilled,Construction,Construction,"1,073.2","1,058.7",14.5,2.8
2024,1,Semi-skilled,Services,Wholesale & retail trade,880.7,878.8,1.8,6.3
2024,1,Semi-skilled,Services,Food & beverages and accommodation,350.8,349.8,1.0,0.5
2024,1,Semi-skilled,Services,Transportation & storage,237.0,236.3,0.7,0.3
2024,1,Semi-skilled,Services,Information & communication,78.4,78.3,0.1,0.3
2024,1,Semi-skilled,Services,"Finance, insurance, real estate & business services",397.9,396.8,1.1,0.5
2024,1,Semi-skilled,Services,Other services,232.8,231.6,1.2,0.5
2024,1,Low-skilled,Agriculture,Agriculture,28.2,22.1,6.1,0.1
2024,1,Low-skilled,Mining & Quarrying,Mining & Quarrying,9.8,9.7,0.1,0.0
2024,1,Low-skilled,Manufacturing,"Food processing, beverages & tobacco products",38.6,34.5,4.1,0.2
2024,1,Low-skilled,Manufacturing,"Textiles, wearing apparel & leather products",6.0,5.2,0.8,0.1
2024,1,Low-skilled,Manufacturing,"Wood products, furniture, paper products & printing",39.7,34.6,5.1,0.0
2024,1,Low-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",25.2,23.4,1.8,0.3
2024,1,Low-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",29.4,26.2,3.1,0.2
2024,1,Low-skilled,Manufacturing,"Electrical, electronic & optical products",23.0,19.8,3.1,0.1
2024,1,Low-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",12.6,11.5,1.1,0.0
2024,1,Low-skilled,Construction,Construction,48.2,41.9,6.2,0.5
2024,1,Low-skilled,Services,Wholesale & retail trade,223.3,220.6,2.7,0.8
2024,1,Low-skilled,Services,Food & beverages and accommodation,341.0,340.6,0.3,0.1
2024,1,Low-skilled,Services,Transportation & storage,91.1,90.7,0.3,0.2
2024,1,Low-skilled,Services,Information & communication,17.8,17.4,0.5,0.1
2024,1,Low-skilled,Services,"Finance, insurance, real estate & business services",104.3,103.5,0.8,0.4
2024,1,Low-skilled,Services,Other services,71.6,71.2,0.3,0.3
2023,4,Skilled,Agriculture,Agriculture,28.4,24.1,4.4,0.2
2023,4,Skilled,Mining & Quarrying,Mining & Quarrying,23.6,23.4,0.1,0.1
2023,4,Skilled,Manufacturing,"Food processing, beverages & tobacco products",44.2,41.8,2.3,0.2
2023,4,Skilled,Manufacturing,"Textiles, wearing apparel & leather products",10.2,9.6,0.6,0.0
2023,4,Skilled,Manufacturing,"Wood products, furniture, paper products & printing",36.8,34.9,2.0,0.2
2023,4,Skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",84.4,80.0,4.4,0.6
2023,4,Skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",60.0,56.5,3.6,0.3
2023,4,Skilled,Manufacturing,"Electrical, electronic & optical products",149.9,140.8,9.1,0.7
2023,4,Skilled,Manufacturing,"Transport equipment, other manufacturing & repair",52.9,50.1,2.8,0.2
2023,4,Skilled,Construction,Construction,143.8,138.9,5.0,0.5
2023,4,Skilled,Services,Wholesale & retail trade,606.1,601.0,5.0,2.0
2023,4,Skilled,Services,Food & beverages and accommodation,117.6,117.4,0.2,0.5
2023,4,Skilled,Services,Transportation & storage,96.8,96.5,0.3,0.8
2023,4,Skilled,Services,Information & communication,137.6,137.4,0.3,0.2
2023,4,Skilled,Services,"Finance, insurance, real estate & business services",428.6,421.1,7.4,1.7
2023,4,Skilled,Services,Other services,215.0,214.3,0.7,0.4
2023,4,Semi-skilled,Agriculture,Agriculture,438.9,418.3,20.6,1.1
2023,4,Semi-skilled,Mining & Quarrying,Mining & Quarrying,47.3,47.0,0.3,0.1
2023,4,Semi-skilled,Manufacturing,"Food processing, beverages & tobacco products",255.5,248.1,7.4,0.2
2023,4,Semi-skilled,Manufacturing,"Textiles, wearing apparel & leather products",72.9,71.1,1.7,0.3
2023,4,Semi-skilled,Manufacturing,"Wood products, furniture, paper products & printing",236.0,229.2,6.8,0.5
2023,4,Semi-skilled,Manufacturing,"Petroleum, chemical, rubber & plastic products",351.1,337.3,13.8,1.9
2023,4,Semi-skilled,Manufacturing,"Non-metallic mineral products, basic metal & fabricated metal products",288.1,280.2,7.9,0.9
2023,4,Semi-skilled,Manufacturing,"Electrical, electronic & optical products",476.9,456.0,20.9,2.9
2023,4,Semi-skilled,Manufacturing,"Transport equipment, other manufacturing & repair",174.7,168.8,5.9,0.6
2023,4,Semi-skilled,Construction,Construction,"1,072.4","1,058.0",14.4,2.7
2023,4,Semi-skilled,Services,Wholesale & retail trade,878.9,877.0,1.9,6.2
2023,4,Semi-skilled,Services,Food & beverages and accommodation,350.3,349.2,1.0,0.5
2023,4,Semi-skilled,Services,Transportation & storage,235.9,235.1,0.7,0.2
2023,4,Semi-skilled,Services,Information & communication,78.3,78.2,0.1,0.1
2023,4,Semi-skilled,Services,"Finance, insurance, real estate & business services",396.8,395.7,1.1,0.5
2023,4,Semi-skilled,Services,Other services,233.3,232.2,1.0,0.4
2023,4,Low-skilled,Agriculture,Agriculture,28.2,22.1,6.1,0.1
